,板块代码,,,,,,,本周强度,,3周强度,,,6周强度,,7个月强度,,,板块股票数,创新高股票数,涨幅超过5%数
112,851114.SI,66.5,151.0,88.11,200.0,63.0,143.0,83.26,189.0,70.0,159.0,小家电,56.8,129.0,63.0,143.0,2020-06-23,18,2.0,1.0
113,851115.SI,63.0,143.0,50.22,114.0,92.5,210.0,96.92,220.0,95.2,216.0,家电零部件,87.7,199.0,92.5,210.0,2020-06-23,19,1.0,0.0
114,851121.SI,65.2,148.0,34.36,78.0,81.9,186.0,62.11,141.0,36.6,83.0,彩电,39.6,90.0,86.3,196.0,2020-06-23,6,0.0,0.0
115,851122.SI,96.5,219.0,43.61,99.0,26.0,59.0,31.72,72.0,33.5,76.0,其它视听器材,36.1,82.0,37.4,85.0,2020-06-23,5,0.0,0.0
116,851231.SI,0.4,1.0,97.8,222.0,87.7,199.0,94.27,214.0,85.0,193.0,白酒,87.2,198.0,76.2,173.0,2020-06-23,17,7.0,7.0
117,851232.SI,11.5,26.0,99.56,226.0,90.3,205.0,100.0,227.0,94.3,214.0,啤酒,94.3,214.0,81.9,186.0,2020-06-23,7,2.0,1.0
118,851233.SI,5.3,12.0,97.36,221.0,92.1,209.0,80.62,183.0,80.6,183.0,其他酒类,64.3,146.0,89.4,203.0,2020-06-23,3,0.0,0.0
119,851234.SI,33.9,77.0,74.01,168.0,32.6,74.0,25.99,59.0,21.1,48.0,软饮料,13.2,30.0,16.7,38.0,2020-06-23,5,0.0,0.0
120,851235.SI,16.7,38.0,92.95,211.0,49.3,112.0,81.06,184.0,88.1,200.0,葡萄酒,75.3,171.0,41.9,95.0,2020-06-23,5,0.0,0.0
121,851236.SI,12.3,28.0,95.59,217.0,70.0,159.0,90.75,206.0,44.5,101.0,黄酒,88.1,200.0,53.3,121.0,2020-06-23,3,0.0,0.0
122,851241.SI,81.1,184.0,78.41,178.0,88.5,201.0,76.21,173.0,75.8,172.0,肉制品,16.7,38.0,77.1,175.0,2020-06-23,7,0.0,1.0
123,851242.SI,7.0,16.0,95.15,216.0,96.0,218.0,88.55,201.0,84.1,191.0,调味发酵品,78.4,178.0,85.0,193.0,2020-06-23,11,4.0,0.0
124,851243.SI,78.0,177.0,76.21,173.0,53.3,121.0,78.41,178.0,74.0,168.0,乳品,55.9,127.0,50.2,114.0,2020-06-23,11,0.0,0.0
125,851244.SI,9.3,21.0,90.75,206.0,97.4,221.0,50.22,114.0,78.0,177.0,食品综合,76.7,174.0,94.7,215.0,2020-06-23,27,3.0,0.0
126,851311.SI,27.8,63.0,7.49,17.0,61.7,140.0,33.04,75.0,76.2,173.0,毛纺,81.5,185.0,48.5,110.0,2020-06-23,4,0.0,0.0
127,851312.SI,13.7,31.0,35.68,81.0,20.7,47.0,30.84,70.0,55.1,125.0,棉纺,40.1,91.0,16.3,37.0,2020-06-23,8,0.0,0.0
128,851313.SI,84.6,192.0,56.83,129.0,50.2,114.0,9.25,21.0,57.7,131.0,丝绸,82.8,188.0,69.2,157.0,2020-06-23,2,0.0,0.0
129,851314.SI,72.2,164.0,25.55,58.0,22.5,51.0,22.91,52.0,19.4,44.0,印染,33.9,77.0,21.1,48.0,2020-06-23,3,0.0,0.0
130,851315.SI,70.9,161.0,58.59,133.0,29.1,66.0,27.31,62.0,59.5,135.0,辅料,52.0,118.0,20.7,47.0,2020-06-23,4,0.0,0.0
131,851316.SI,69.2,157.0,11.89,27.0,33.9,77.0,7.49,17.0,33.0,75.0,其他纺织,19.8,45.0,51.5,117.0,2020-06-23,10,1.0,0.0
132,851322.SI,86.3,196.0,63.0,143.0,8.8,20.0,26.43,60.0,42.7,97.0,男装,26.0,59.0,11.9,27.0,2020-06-23,10,0.0,0.0
133,851323.SI,83.7,190.0,72.69,165.0,0.4,1.0,5.73,13.0,50.2,114.0,女装,32.2,73.0,0.4,1.0,2020-06-23,8,0.0,0.0
134,851324.SI,97.4,221.0,62.11,141.0,6.6,15.0,7.05,16.0,5.7,13.0,休闲服装,9.7,22.0,24.2,55.0,2020-06-23,6,0.0,0.0
135,851325.SI,99.6,226.0,53.74,122.0,73.6,167.0,73.13,166.0,62.1,141.0,鞋帽,91.6,208.0,96.5,219.0,2020-06-23,7,1.0,2.0
136,851326.SI,40.5,92.0,75.33,171.0,51.1,116.0,10.57,24.0,0.4,1.0,家纺,12.3,28.0,40.1,91.0,2020-06-23,5,0.0,0.0
137,851327.SI,41.4,94.0,31.72,72.0,73.1,166.0,33.92,77.0,58.1,132.0,其他服装,76.2,173.0,69.6,158.0,2020-06-23,17,0.0,0.0
138,851411.SI,89.4,203.0,55.95,127.0,48.5,110.0,47.58,108.0,57.3,130.0,造纸,50.2,114.0,51.1,116.0,2020-06-23,21,1.0,0.0
139,851421.SI,67.8,154.0,41.85,95.0,43.2,98.0,63.0,143.0,71.8,163.0,包装印刷,68.3,155.0,45.4,103.0,2020-06-23,38,3.0,2.0
140,851432.SI,64.3,146.0,10.57,24.0,50.7,115.0,29.52,67.0,22.5,51.0,家具,69.2,157.0,58.6,133.0,2020-06-23,30,1.0,0.0
141,851433.SI,41.9,95.0,67.84,154.0,70.9,161.0,44.49,101.0,45.8,104.0,其他家用轻工,80.6,183.0,62.1,141.0,2020-06-23,18,0.0,1.0
142,851434.SI,51.5,117.0,51.98,118.0,4.4,10.0,10.13,23.0,38.3,87.0,珠宝首饰,45.4,103.0,6.6,15.0,2020-06-23,11,0.0,0.0
143,851435.SI,17.6,40.0,88.55,201.0,72.7,165.0,48.9,111.0,47.1,107.0,文娱用品,65.2,148.0,60.8,138.0,2020-06-23,12,0.0,0.0
144,851441.SI,87.2,198.0,4.41,10.0,17.2,39.0,2.64,6.0,58.6,133.0,其他轻工制造,73.1,166.0,25.1,57.0,2020-06-23,1,0.0,0.0
145,851511.SI,7.5,17.0,92.51,210.0,97.8,222.0,52.86,120.0,94.7,215.0,化学原料药,91.2,207.0,95.6,217.0,2020-06-23,29,10.0,4.0
146,851512.SI,11.0,25.0,87.22,198.0,85.9,195.0,67.84,154.0,95.6,217.0,化学制剂,89.4,203.0,78.4,178.0,2020-06-23,73,8.0,5.0
147,851521.SI,5.7,13.0,86.78,197.0,74.9,170.0,36.56,83.0,81.9,186.0,中药,70.9,161.0,63.9,145.0,2020-06-23,68,8.0,3.0
148,851531.SI,6.2,14.0,93.83,213.0,98.2,223.0,85.9,195.0,98.2,223.0,生物制品,97.8,222.0,96.9,220.0,2020-06-23,34,8.0,2.0
149,851541.SI,19.8,45.0,82.82,188.0,82.4,187.0,66.08,150.0,92.5,210.0,医药商业,84.6,192.0,74.9,170.0,2020-06-23,25,4.0,1.0
150,851551.SI,8.4,19.0,89.43,203.0,100.0,227.0,43.17,98.0,96.5,219.0,医疗器械,94.7,215.0,98.2,223.0,2020-06-23,54,9.0,7.0
151,851561.SI,4.0,9.0,96.04,218.0,93.8,213.0,96.04,218.0,96.9,220.0,医疗服务,96.5,219.0,83.3,189.0,2020-06-23,22,6.0,5.0
152,851611.SI,20.7,47.0,55.51,126.0,18.9,43.0,61.67,140.0,32.2,73.0,火电,23.3,53.0,11.0,25.0,2020-06-23,27,0.0,0.0
153,851612.SI,12.8,29.0,89.87,204.0,43.6,99.0,82.38,187.0,62.6,142.0,水电,62.1,141.0,30.4,69.0,2020-06-23,22,1.0,0.0
154,851613.SI,4.4,10.0,35.24,80.0,38.3,87.0,20.7,47.0,23.8,54.0,燃机发电,37.0,84.0,33.0,75.0,2020-06-23,1,0.0,0.0
155,851614.SI,6.6,15.0,63.44,144.0,52.4,119.0,13.66,31.0,3.1,7.0,热电,10.1,23.0,48.9,111.0,2020-06-23,6,0.0,0.0
156,851615.SI,37.9,86.0,18.06,41.0,12.8,29.0,66.52,151.0,52.4,119.0,新能源发电,20.3,46.0,10.1,23.0,2020-06-23,18,1.0,0.0
157,851621.SI,24.7,56.0,29.96,68.0,41.9,95.0,28.19,64.0,28.6,65.0,水务,14.5,33.0,36.1,82.0,2020-06-23,19,0.0,0.0
158,851631.SI,14.5,33.0,28.63,65.0,16.3,37.0,37.89,86.0,20.3,46.0,燃气,41.0,93.0,11.5,26.0,2020-06-23,22,1.0,0.0
159,851641.SI,59.5,135.0,56.39,128.0,55.1,125.0,16.3,37.0,38.8,88.0,环保工程及服务,16.3,37.0,44.5,101.0,2020-06-23,51,0.0,0.0
160,851711.SI,30.0,68.0,70.48,160.0,13.2,30.0,71.81,163.0,59.9,136.0,港口,54.6,124.0,9.7,22.0,2020-06-23,19,1.0,0.0
161,851721.SI,20.3,46.0,29.52,67.0,77.5,176.0,30.4,69.0,0.9,2.0,公交,99.1,225.0,70.5,160.0,2020-06-23,9,0.0,1.0
162,851731.SI,22.0,50.0,55.07,125.0,22.0,50.0,36.12,82.0,22.9,52.0,高速公路,18.5,42.0,15.9,36.0,2020-06-23,21,0.0,0.0
163,851741.SI,23.8,54.0,27.75,63.0,1.8,4.0,21.59,49.0,16.7,38.0,航空运输,42.3,96.0,2.2,5.0,2020-06-23,8,0.0,0.0
164,851751.SI,0.9,2.0,54.19,123.0,26.4,60.0,37.0,84.0,4.4,10.0,机场,53.7,122.0,13.7,31.0,2020-06-23,4,0.0,0.0
165,851761.SI,30.4,69.0,32.6,74.0,3.5,8.0,38.77,88.0,19.8,45.0,航运,4.0,9.0,12.8,29.0,2020-06-23,10,0.0,0.0
166,851771.SI,3.1,7.0,64.32,146.0,12.3,28.0,51.54,117.0,39.2,89.0,铁路运输,40.5,92.0,8.4,19.0,2020-06-23,5,0.0,0.0
167,851781.SI,16.3,37.0,81.5,185.0,69.2,157.0,6.17,14.0,64.3,146.0,物流,74.4,169.0,54.6,124.0,2020-06-23,40,3.0,3.0
168,851811.SI,31.7,72.0,52.42,119.0,21.1,48.0,46.7,106.0,26.4,60.0,房地产开发,34.4,78.0,24.7,56.0,2020-06-23,120,3.0,8.0
169,851821.SI,15.4,35.0,22.03,50.0,41.4,94.0,17.18,39.0,63.0,143.0,园区开发,80.2,182.0,38.8,88.0,2020-06-23,12,0.0,0.0
170,851911.SI,54.6,124.0,47.58,108.0,10.6,24.0,25.11,57.0,11.5,26.0,银行,21.1,48.0,10.6,24.0,2020-06-23,36,0.0,0.0
171,851921.SI,43.6,99.0,77.09,175.0,13.7,31.0,86.78,197.0,66.5,151.0,多元金融,48.0,109.0,17.2,39.0,2020-06-23,29,0.0,3.0
172,851931.SI,13.2,30.0,80.62,183.0,36.6,83.0,96.48,219.0,87.7,199.0,证券,59.9,136.0,52.9,120.0,2020-06-23,45,1.0,2.0
173,851941.SI,26.0,59.0,14.98,34.0,6.2,14.0,25.55,58.0,8.8,20.0,保险,20.7,47.0,3.5,8.0,2020-06-23,7,0.0,0.0
174,852021.SI,26.9,61.0,21.59,49.0,33.0,75.0,31.28,71.0,26.0,59.0,贸易,22.9,52.0,31.3,71.0,2020-06-23,22,0.0,0.0
175,852031.SI,39.2,89.0,31.28,71.0,85.0,193.0,11.89,27.0,78.9,179.0,百货,99.6,226.0,84.1,191.0,2020-06-23,24,1.0,0.0
176,852032.SI,70.5,160.0,91.63,208.0,91.6,208.0,54.63,124.0,75.3,171.0,超市,46.3,105.0,83.7,190.0,2020-06-23,10,2.0,1.0
177,852033.SI,14.1,32.0,3.96,9.0,64.3,146.0,44.05,100.0,84.6,192.0,多业态零售,96.0,218.0,55.1,125.0,2020-06-23,15,0.0,0.0
178,852041.SI,92.5,210.0,51.1,116.0,79.3,180.0,75.77,172.0,82.4,187.0,专业连锁,92.5,210.0,75.8,172.0,2020-06-23,12,2.0,0.0
179,852051.SI,50.7,115.0,44.49,101.0,57.3,130.0,59.91,136.0,73.6,167.0,一般物业经营,72.7,165.0,32.6,74.0,2020-06-23,4,0.0,0.0
180,852052.SI,73.6,167.0,1.32,3.0,74.4,169.0,2.2,5.0,41.4,94.0,专业市场,95.6,217.0,65.6,149.0,2020-06-23,9,0.0,0.0
181,852111.SI,90.3,205.0,77.53,176.0,56.4,128.0,45.81,104.0,9.3,21.0,人工景点,72.2,164.0,61.2,139.0,2020-06-23,2,0.0,0.0
182,852112.SI,23.3,53.0,54.63,124.0,19.4,44.0,46.26,105.0,28.2,64.0,自然景点,35.2,80.0,15.4,35.0,2020-06-23,8,0.0,0.0
183,852121.SI,1.8,4.0,61.23,139.0,29.5,67.0,79.74,181.0,40.5,92.0,酒店,49.8,113.0,44.9,102.0,2020-06-23,6,0.0,0.0
184,852131.SI,44.5,101.0,70.04,159.0,89.4,203.0,63.88,145.0,99.6,226.0,旅游综合,100.0,227.0,87.7,199.0,2020-06-23,12,0.0,0.0
185,852141.SI,15.0,34.0,58.15,132.0,78.0,177.0,7.93,18.0,26.9,61.0,餐饮,71.8,163.0,72.2,164.0,2020-06-23,3,0.0,0.0
186,852151.SI,1.3,3.0,4.85,11.0,71.8,163.0,3.08,7.0,5.3,12.0,其他休闲服务,17.2,39.0,61.7,140.0,2020-06-23,3,0.0,0.0
187,852211.SI,84.1,191.0,25.99,59.0,26.9,61.0,74.45,169.0,41.0,93.0,通信运营,15.4,35.0,18.5,42.0,2020-06-23,4,0.0,0.0
188,852221.SI,94.3,214.0,96.92,220.0,95.2,216.0,98.24,223.0,100.0,227.0,互联网信息服务,96.9,220.0,96.0,218.0,2020-06-23,22,5.0,3.0
189,852222.SI,98.7,224.0,99.12,225.0,76.2,173.0,92.95,211.0,97.8,222.0,移动互联网服务,97.4,221.0,81.1,184.0,2020-06-23,38,4.0,7.0
190,852223.SI,93.4,212.0,100.0,227.0,17.6,40.0,84.14,191.0,99.1,225.0,其他互联网服务,93.0,211.0,57.7,131.0,2020-06-23,1,0.0,1.0
191,852224.SI,91.2,207.0,74.89,170.0,66.1,150.0,23.35,53.0,67.4,153.0,有线电视网络,93.8,213.0,66.5,151.0,2020-06-23,11,0.0,0.0
192,852225.SI,85.0,193.0,98.24,223.0,90.7,206.0,93.39,212.0,93.8,213.0,软件开发,78.9,179.0,91.2,207.0,2020-06-23,73,6.0,7.0
193,852226.SI,82.8,188.0,80.18,182.0,71.4,162.0,81.5,185.0,67.8,154.0,IT服务,32.6,74.0,72.7,165.0,2020-06-23,96,4.0,5.0
194,852241.SI,80.6,183.0,83.26,189.0,52.0,118.0,3.52,8.0,90.3,205.0,平面媒体,83.7,190.0,49.3,112.0,2020-06-23,23,0.0,2.0
195,852242.SI,96.9,220.0,88.99,202.0,14.5,33.0,24.23,55.0,29.1,66.0,影视动漫,44.5,101.0,37.9,86.0,2020-06-23,26,0.0,4.0
196,852243.SI,97.8,222.0,81.94,186.0,66.5,151.0,15.42,35.0,71.4,162.0,营销服务,85.5,194.0,77.5,176.0,2020-06-23,34,1.0,3.0
197,852244.SI,59.9,136.0,85.46,194.0,67.8,154.0,49.78,113.0,50.7,115.0,其他文化传媒,41.9,95.0,52.0,118.0,2020-06-23,14,0.0,1.0
198,852311.SI,58.1,132.0,74.45,169.0,62.6,142.0,69.6,158.0,72.2,164.0,综合,43.6,99.0,64.3,146.0,2020-06-23,34,0.0,1.0
199,857221.SI,56.4,128.0,24.23,55.0,38.8,88.0,70.93,161.0,51.5,117.0,装修装饰,45.8,104.0,32.2,73.0,2020-06-23,26,1.0,0.0
200,857231.SI,63.4,144.0,40.53,92.0,53.7,122.0,51.98,118.0,18.5,42.0,城轨建设,47.1,107.0,45.8,104.0,2020-06-23,2,0.0,0.0
201,857232.SI,65.6,149.0,8.81,20.0,39.6,90.0,16.74,38.0,12.8,29.0,路桥施工,4.4,10.0,30.0,68.0,2020-06-23,20,0.0,0.0
202,857233.SI,68.3,155.0,44.05,100.0,22.9,52.0,55.95,127.0,34.8,79.0,水利工程,7.9,18.0,20.3,46.0,2020-06-23,6,0.0,0.0
203,857234.SI,74.9,170.0,13.22,30.0,5.7,13.0,33.48,76.0,4.8,11.0,铁路建设,1.3,3.0,7.9,18.0,2020-06-23,2,0.0,0.0
204,857235.SI,28.6,65.0,9.69,22.0,40.1,91.0,14.54,33.0,14.5,33.0,其他基础建设,13.7,31.0,33.9,77.0,2020-06-23,4,0.0,0.0
205,857241.SI,73.1,166.0,17.62,40.0,93.0,211.0,42.73,97.0,51.1,116.0,钢结构,54.2,123.0,92.1,209.0,2020-06-23,8,1.0,0.0
206,857242.SI,48.5,110.0,12.78,29.0,27.8,63.0,49.34,112.0,40.1,91.0,化学工程,25.1,57.0,21.6,49.0,2020-06-23,8,0.0,0.0
207,857243.SI,19.4,44.0,15.42,35.0,2.2,5.0,22.47,51.0,7.9,18.0,国际工程承包,10.6,24.0,5.7,13.0,2020-06-23,4,0.0,0.0
208,857244.SI,42.3,96.0,46.7,106.0,36.1,82.0,41.85,95.0,30.0,68.0,其他专业工程,23.8,54.0,34.8,79.0,2020-06-23,10,0.0,1.0
209,857251.SI,70.0,159.0,20.26,46.0,27.3,62.0,19.82,45.0,18.9,43.0,园林工程,17.6,40.0,18.9,43.0,2020-06-23,21,0.0,0.0
210,857321.SI,85.5,194.0,78.85,179.0,45.8,104.0,77.09,175.0,63.9,145.0,电网自动化,22.0,50.0,28.6,65.0,2020-06-23,15,0.0,0.0
211,857322.SI,21.6,49.0,77.97,177.0,81.1,184.0,87.22,198.0,65.6,149.0,工控自动化,50.7,115.0,81.5,185.0,2020-06-23,18,0.0,0.0
212,857323.SI,49.8,113.0,33.92,77.0,25.6,58.0,57.27,130.0,54.6,124.0,计量仪表,25.6,58.0,25.6,58.0,2020-06-23,12,0.0,1.0
213,857331.SI,36.6,83.0,72.25,164.0,52.9,120.0,65.2,148.0,91.6,208.0,综合电力设备商,63.9,145.0,46.7,106.0,2020-06-23,2,0.0,0.0
214,857332.SI,74.4,169.0,36.12,82.0,41.0,93.0,40.09,91.0,70.9,161.0,风电设备,60.8,138.0,41.0,93.0,2020-06-23,13,1.0,0.0
215,857333.SI,98.2,223.0,93.39,212.0,85.5,194.0,95.59,217.0,93.4,212.0,光伏设备,84.1,191.0,88.5,201.0,2020-06-23,27,2.0,0.0
216,857334.SI,45.4,103.0,11.45,26.0,3.1,7.0,4.85,11.0,7.5,17.0,火电设备,5.7,13.0,1.3,3.0,2020-06-23,4,0.0,0.0
217,857335.SI,41.0,93.0,86.34,196.0,96.5,219.0,92.51,210.0,89.0,202.0,储能设备,92.1,209.0,97.8,222.0,2020-06-23,20,0.0,0.0
218,857336.SI,53.7,122.0,69.16,157.0,60.4,137.0,48.02,109.0,24.2,55.0,其它电源设备,64.8,147.0,47.1,107.0,2020-06-23,6,0.0,0.0
219,857341.SI,33.0,75.0,37.0,84.0,78.9,179.0,47.14,107.0,15.9,36.0,高压设备,0.9,2.0,71.4,162.0,2020-06-23,9,0.0,0.0
220,857342.SI,62.6,142.0,19.38,44.0,37.4,85.0,22.03,50.0,43.2,98.0,中压设备,30.4,69.0,42.3,96.0,2020-06-23,19,0.0,0.0
221,857343.SI,11.9,27.0,68.28,155.0,75.3,171.0,95.15,216.0,87.2,198.0,低压设备,79.7,181.0,78.9,179.0,2020-06-23,9,1.0,0.0
222,857344.SI,69.6,158.0,30.4,69.0,59.9,136.0,35.24,80.0,25.1,57.0,线缆部件及其他,2.6,6.0,58.1,132.0,2020-06-23,27,1.0,0.0
223,857411.SI,55.5,126.0,18.5,42.0,84.6,192.0,52.42,119.0,52.9,120.0,航天装备,44.9,102.0,87.2,198.0,2020-06-23,15,0.0,0.0
224,857421.SI,50.2,114.0,85.02,193.0,68.7,156.0,69.16,157.0,55.9,127.0,航空装备,34.8,79.0,62.6,142.0,2020-06-23,30,1.0,2.0
225,857431.SI,60.4,137.0,7.93,18.0,68.3,155.0,11.01,25.0,56.4,128.0,地面兵装,15.9,36.0,64.8,147.0,2020-06-23,12,0.0,0.0
226,858811.SI,95.2,216.0,39.21,89.0,63.4,144.0,91.63,208.0,83.3,189.0,其他交运设备,93.4,212.0,68.3,155.0,2020-06-23,10,1.0,0.0